94089,1
95111,1
95132,1
95002,1
94305,0.99
95113,0.9725
94304,0.955
94301,0.9375
94087,0.92
95110,0.9025
95131,0.885
95033,0.8675
95119,0.85
95120,0.8325
95134,0.815
94086,0.7975
95046,0.78
95076,0.7625
95127,0.745
95054,0.7275
95122,0.71
95130,0.6925
95118,0.675
95128,0.6575
95129,0.64
94306,0.6225
95032,0.605
95117,0.5875
95121,0.57
94085,0.5525
95135,0.535
94024,0.5175
95116,0.5
94040,0.4825
94041,0.465
94303,0.4475
95008,0.43
95070,0.4125
95126,0.395
94022,0.3775
95030,0.36
95123,0.3425
95020,0.325
95133,0.3075
95014,0.29
95037,0.2725
95050,0.255
95051,0.2375
94043,0.22
95035,0.2025
95112,0.185
95124,0.1675
95125,0.15
